Restaurant,Category,Neighborhood,Address,Phone Number,Rating
Eclectic,Uncle Ray's,King East,9 Church St.,647.349.7297,4.67
Eclectic,Mineral,Rosedale,1027 Yonge Street,416.925.8565,5.00
Eclectic,Bar Piquette,West Queen West,1084 Queen St. West,Not Found,4.50
Eclectic,Est Restaurant,Riverside,729 Queen St. East,416.792.1000,4.67
Eclectic,Reign,Financial District,100 Front St W,416.368.2511,4.50
Eclectic,Sash Restaurant,Yonge & St. Clair,1133 Yonge Street,Not Found,4.11
Eclectic,World Food Market,Yonge & Dundas,335 Yonge Street,Not Found,4.00
Eclectic,Mildred's Temple Kitchen,Liberty Village,85 Hanna Avenue Suite 104,416.588.5695,4.00
Eclectic,Aviator,Danforth East,1458 Danforth Avenue,647.348.2680,4.00
Eclectic,Ten Restaurant,Brockton Village,1132 College Street,416.538.3810,5.00
Eclectic,Cru Restaurant,Financial District,100 Yonge Street,416.901.0211,3.86
Eclectic,Annex Food Hall,Annex,384 Bloor St. West,Not Found,4.75
Eclectic,Arthur's Restaurant,Yonge & St. Clair,12 St Clair Ave E,647.348.7000,4.33
Eclectic,Annex Commons,Annex,296 Brunswick Ave.,647.277.1179,-
Eclectic,Louix Louis,Financial District,325 Bay Street,416.637.5550,4.00
Eclectic,Pastiche,Ossington,59 Ossington Ave.,647.508.5959,5.00
Eclectic,Union Station Food Court,Financial District,65 Front Street West,Not Found,1.00
Eclectic,Fleets Food,Yonge & College,369 Church St.,416.977.9924,5.00
Eclectic,Grand Bizarre,Harbourfront,15 Saskatchewan Road,416.595.9998,3.00
Eclectic,Casa La Palma,Dundas West,849 Dundas St. West,416.368.4567,3.67
Eclectic,Cactus Club Sherway Gardens,Etobicoke,Unit 700 - 25 The West Mall,416.621.0203,4.67
Eclectic,Sara Restaurant,King West,98 Portland St,416.985.5721,4.20
Eclectic,Frilu,Thornhill,Not Found,Not Found,5.00
Eclectic,Founder,Dundas West,1282 Dundas St W,647.348.1282,4.13
Eclectic,Drake Mini Bar,Financial District,150 York Street,416.900.0992,4.00
Eclectic,Chica's Nashville Hot Chicken,Junction,Not Found,Not Found,4.79
Eclectic,Harbour Eats by Mercatino,South Core,1 York St,416.792.9013,3.50
Eclectic,Assembly Chef's Hall,Financial District,111 Richmond St. West,647.557.5993,4.11
Eclectic,The Civic,Riverside,106 Broadview Ave,416.362.8439,3.00
Eclectic,Mrs. Robinson,Little Italy,574 College Street West,Not Found,3.80
Eclectic,Farmr,King East,140 The Esplanade,416.901.8676,4.63
Eclectic,Kost,Entertainment District,80 Blue Jays Way,416.551.2800,3.50
Eclectic,The Rooftop at the Broadview Hotel,Riverside,106 Broadview Ave,416.362.8439,4.20
Eclectic,Grey Gardens,Kensington Market,199 Augusta Ave ,647.351.1552,4.30
Eclectic,Drake Commissary,Junction Triangle,128 Sterling Rd.,416.432.2922,3.55
Ethiopian,Selam Vegan,Bloorcourt,812b Bloor St W,647.344.7225,5.00
Ethiopian,Rendez-Vous,Danforth East,1408 Danforth Avenue,416.469.2513,4.29
Ethiopian,Blue Nile,Danforth East,1260 Danforth Ave,416.465.9454,4.50
Ethiopian,Pero Restaurant,Bloorcourt,812 Bloor St. W,416.915.7225,3.75
Ethiopian,Nunu Ethiopian Fusion,West Queen West,1178 Queen Street West,647.351.6868,5.00
Ethiopian,Ethiopian House,Yonge & Wellesley,4 Irwin Avenue,416.923.5438,2.91
Ethiopian,Lalibela Ethiopian on Bloor,Bloorcourt,869 Bloor Street West,416.535.6615,3.75
Ethiopian,African Palace,Bloorcourt,977 Bloor St. West,416.588.7819,3.50
Ethiopian,Enat Buna,Moss Park,175 Queen St. East,416.901.2928,5.00
Ethiopian,Lucy Ethiopian Kitchen,Danforth East,1690 Danforth Avenue,416.406.0534,-
Ethiopian,Wazema,Danforth East,1360 Danforth Ave.,416.466.5713,-
Ethiopian,Flavours of Sheba,St. Clair West,1310 St Clair Ave W,416.792.1449,-
Ethiopian,Hirut,Danforth East,2050 Danforth Ave,416.551.7560,-
Ethiopian,Lalibela Ethiopian (Danforth),Danforth East,1202 Danforth Avenue,416.645.0486,-
Ethiopian,Shalom,Cabbagetown,587 Parliament Street,416.964.7271,3.00
Ethiopian,Merhaba Bar & Cafe,Danforth East,Not Found,Not Found,-
Ethiopian,Desta Market,Danforth,843 Danforth Ave.,416.850.4854,-
Ethiopian,Sora Ethiopian,Danforth East,1383 Danforth Avenue,647.347.6722,-
Ethiopian,Al-Aruba,Etobicoke,383 Albion Rd.,416.746.4089,5.00
Ethiopian,Salaama Hut,Etobicoke,1987 Kipling Ave,416.744.7413,5.00
Ethiopian,Bilal Restaurant,Etobicoke,321 Rexdale Blvd,416.745.9963,5.00
Ethiopian,Abyssinia,Danforth East,884 Danforth Avenue,416.979.9746,5.00
Filipino,Coffee In,Scarborough,2181 Lawrence Ave E.,647.348.7282,4.75
Filipino,Jollibee Wilson,North York,79 Billy Bishop Way,Not Found,3.00
Filipino,Lovely Pao,North York,756 Wilson Ave.,647.348.8856,4.67
Filipino,Boodle Fight,Danforth East,937 Danforth Ave,416.901.8460,4.60
Filipino,Jollibee Toronto,Scarborough,15 William Kitchen Rd,647.953.1100,4.75
Filipino,Max's Restaurant,Scarborough,707 Markham Road,416.431.4960,5.00
Filipino,Wilson's Haus of Lechon,North York,365 Wilson Ave,416.792.7548,4.82
Filipino,Sampaguita Village,North York,322 Wilson Avenue,416.630.2122,4.17
Filipino,Casa Manila,Don Mills,879 York Mills Rd,416.443.9654,3.38
Filipino,Tinuno,St. James Town,31 Howard St.,647.343.9294,4.50
Filipino,Lamesa,St. Clair West,634 St. Clair Ave. W,647.343.1110,3.78
Filipino,Pinoy Waffles,Markham,4300 Steeles Ave. E. Markham,416.402.8219,4.00
Filipino,Remely's,Scarborough,4830 Sheppard Ave E,416.609.9661,3.67
Filipino,Tocino Boys,Ossington,214 Ossington Ave.,416.503.8703,5.00
Filipino,Lola's Kusina,Etobicoke,96 Rexdale Blvd.,416.792.4742,4.50
Filipino,Max's Restaurant (North York),North York,1520 Steeles Ave W,289.597.9433,4.33
Filipino,Ritz Restaurant (Donlands),East York,310 Dondlands Avenue,416.421.4696,-
Filipino,Kanto by Tita Flips,Dundas West,707 Dundas St W.,416.893.0737,5.00
Filipino,Islas Filipino,Parkdale,1690 Queen Street West,416.533.0777,4.00
Filipino,Lechon Republik,Eglinton West,1 Romar Crescent,647.340.0807,5.00
Filipino,Jesse Jr. (Scarborough),Scarborough,1060 Kennedy Road,416.701.9353,2.00
Filipino,Sun Barbecue Company,Etobicoke,296 Browns Line,416.253.9112,5.00
Filipino,Dbarkadz Filipino Cuisine,Scarborough,1217 Ellesmere Rd.,647.343.6093,4.33
Filipino,Barrio Fiesta ,Scarborough,11 Lapsley Rd,416.754.4677,4.25
Filipino,Bella's Lechon,Scarborough,"1145 Morningside Ave, Unit #17&18",416.282.3288,5.00
Filipino,Bangku,Avenue and Lawrence,3028 Bathurst Street,647.975.3028,5.00
Filipino,Chelsea's,Pape Village,1027 Pape Avenue,647.346.3588,4.33
Filipino,Happy Tummy Filipino,Scarborough,2950 Birchmount Rd.,647.347.8838,4.00
Filipino,Mayette's,Danforth East,3331 Danforth Ave.,416.463.0338,4.00
Filipino,Alan's Filipino Restaurant,Scarborough,2655 Lawrence Ave East,416.770.5852,3.00
Filipino,Filipino in Toronto,Oakwood Village,1859 Eglinton Avenue West,416.780.0015,-
Filipino,Batibot,Parkdale,1311 King St. W,Not Found,5.00
Filipino,Sun-Up Barbecue Co.,North York,3411 Bathurst Street,416.789.5023,5.00
Filipino,Tagpuan,Scarborough,1740 Victoria Park Avenue,416.615.0893,3.00
Filipino,Marcelina's,North York,355 Wilson Avenue,416.635.6812,1.00
Filipino,Republika RestoBar and Grill,North York,288-A Wilson Ave.,416.633.1288,-
Filipino,Tala,Baldwin Village,294 Dundas St W,416.792.5000,-
Filipino,Kabalen,North York,3778 Bathurst Street,647.352.7222,-
Filipino,Jollytops,North York,288 Wilson Avenue,416.633.9233,-
Filipino,Dalisay,North York,800 Steeles Avenue West,905.597.8545,-
French,Bernhardt's,West Queen West,202 Dovercourt Road,416.530.0008,4.50
French,Pompette,Little Italy,597 College Street,416.516.1111,3.29
French,Lapinou,King West,642 King Street West,416.479.4414,4.50
French,Le Conciliabule,Little India,1300 Gerrard St E,437.981.1800,4.86
French,Faim De Loup,Little Italy,940 College St.,416.901.3246,4.80
French,Dreyfus,Harbord Village,96 Harbord St.,416.323.1385,4.33
French,Batifole,East Chinatown,744 Gerrard Street East,416.462.9965,4.00
French,Maison Selby,St. James Town,592 Sherbourne St.,647.943.1676,4.56
French,Laissez Faire,King West,589 King St. West,647.508.5088,4.11
French,Coffee Oysters Champagne,Entertainment District,214 King St. West,416.408.4044,4.32
French,La Palette,Queen West,492 Queen St. West,416.929.4900,3.68
French,Le Swan,West Queen West,892 Queen St W,416.536.4440,4.29
French,FK,St. Clair West,770 St. Clair Ave. W,416.551.9731,4.64
French,Paris Paris,Dundas West,1161 Dundas St W,416.535.5656,3.30
French,Aloette,Queen West,163 Spadina Ave,416.260.3444,4.00
French,Gare de l'Est,Leslieville,1190 Dundas St. East,416.792.1626,3.91
French,Cafe Cancan,Harbord Village,89 Harbord St.,647.341.3100,4.00
French,Auberge du Pommier,North York,4150 Yonge St.,416.222.2220,4.36
French,La Banane,Ossington,227 Ossington Ave.,416.551.6263,4.25
French,Jules Bistro (Queen Street),West Queen West,924 Queen St W,416.533.5454,4.75
French,Nord Bistro,Annex,406 Dupont St,416.925.6673,5.00
French,Greta Solomon's,Leslieville,1118 Queen St. E,647.347.8640,4.50
French,Lavelle,King West,627 King St W,647.347.9353,3.60
French,Le Baratin,Brockton Village,1600 Dundas St. W.,416.534.8800,4.75
French,Carens Rosedale,Rosedale,1118 Yonge St.,647.352.8111,-
French,Alo,Queen West,163 Spadina Ave.,416.260.2222,2.58
French,Cluny,Distillery District,35 Tank House Ln.,416.203.2632,3.79
French,East Thirty Six,King East,36 Wellington St. E,647.350.3636,4.00
French,Roux,Junction,2790 Dundas St W,647.343.3600,3.50
French,Luma,Entertainment District,330 King St. W,647.288.4715,3.63
French,Le Paradis,Annex,166 Bedford Rd.,416.921.0995,4.00
French,Midi Bistro,Baldwin Village,168 McCaul Street,416.977.2929,-
French,Le Select Bistro,King West,432 Wellington Street West,416.596.6405,3.81
French,Chabrol,Yorkville,90 Yorkville Ave.,416.428.6641,3.90
French,Sassafraz,Yorkville,100 Cumberland Street,416.964.2222,3.58
French,Jules Bistro & Cafe,Queen West,147 Spadina Avenue,416.348.8886,4.80
French,Cafe Boulud,Yorkville,60 Yorkville Ave.,416.964.0411,2.60
French,Jacques Bistro du Parc,Yorkville,126 Cumberland Street ,416.961.1893,3.29
French,Biff's Bistro,Financial District,33 Yonge St.,416.860.0086,3.67
French,dbar,Yorkville,60 Yorkville Avenue,416.963.6010,-
Gelato,L'Arc en Ciel,Little Italy,376 College Street,416.968.7112,4.29
Gelato,Death in Venice Gelato,Dundas West,1418 Dundas St. West,416.551.7199,3.57
Gelato,Piccolina Gelato,King West,85 Portland St,416.881.1683,4.33
Gelato,La Paloma,Corso Italia,1357 St. Clair Avenue West,416.656.2340,3.82
Gelato,Futura Granita + Gelato,St. Clair West,964 St. Clair Ave West,Not Found,5.00
Gelato,Kekou Gelato (Queen West),Queen West,394 Queen St. W. ,416.516.0637,4.40
Gelato,Lola's Gelato,Etobicoke,16 Brookers Lane,416.351.8148,5.00
Gelato,Grinning Face,Cabbagetown,540 Parliament Street,416.920.4444,-
Gelato,Lick It Gelato,Harbourfront,250 Queens Quay W,647.351.7177,-
Gelato,Froshberg Gelato (Urban Eatery),Yonge & Dundas,220 Yonge Street ,416.598.8560,4.50
Gelato,Ice 'n Cake,Don Mills,30 Clock Tower Road,416.444.2100,3.60
Gelato,Hollywood Gelato,Bayview and Leaside,1640 Bayview,416.544.9829,4.27
Gelato,Hotel Gelato,Yonge & Eglinton,532 Eglinton Avenue West,416.932.2663,4.75
Gelato,Punto Gelato,Yonge & Eglinton,2076 Yonge Street,647.346.0125,4.29
Gelato,Dolce Gelato,Little Italy,697 College Street,416.915.0756,4.00
Gelato,Kekou Gelato (Baldwin Village),Baldwin Village,13 Baldwin St.,416.792.8858,4.25
Gelato,Dolce Gelato (Kensington),Kensington Market,234 Augusta Ave.,416.519.9995,3.25
Gelato,Sicilian Sidewalk Cafe,Little Italy,Not Found,Not Found,4.25
Gelato,Dolce Gelato (Danforth),Danforth,414 Danforth Avenue,416.546.2148,5.00
Gelato,Touti Gelati (Queens Quay),Harbourfront,550 Queens Quay West,647.800.4613,5.00
Gelato,Punto Gelato Yorkville,Yorkville,146 Cumberland St.,416.792.6620,5.00
Gelato,Gelato Gelato (Woodbridge),Woodbridge,3650 Langstaff Rd,905.851.0400,-
Gelato,Food Palace Gelato,Queen West,217 Bathurst St.,647.351.0988,5.00
Gelato,The Gelato Shop,Yorkville,29 Bellair St,416.934.9292,3.00
Gelato,Touti Gelati and Cafe (Beaches),Beaches,1865 Queen St. E.,416.301.1454,-
Gelato,Your Gelato,Yonge & Lawrence,3184 Yonge St,647.230.5434,5.00
Gelato,Nani's Gelato,Yonge & Bloor,6 Charles St E,Not Found,4.50
Gelato,XO Gelato,Mount Pleasant,647 Mount Pleasant Rd.,416.488.2663,5.00
Gelato,Chavo Gelato,Harbourfront,235 Queen's Quay W,Not Found,-
Indian,Adda Bistro,Moss Park,364 Queen St E,647.393.3164,5.00
Indian,Indian Roti House,Harbourfront,256 Queens Quay West,416.260.6666,4.29
Indian,Naan & Chai,West Queen West,712 Queen St. West,416.366.6226,4.44
Indian,Ruchi Takeout,Scarborough,3580 McNicoll Ave,416.412.0330,5.00
Indian,Popa,North York,2901 Bayview Ave,647.123.4567,4.50
Indian,Charminar,Scarborough,925 Warden Ave,416.285.7774,3.75
Indian,Tadka,Etobicoke,666 The Queensway,416.546.5388,4.50
Indian,South Indian Dosa Mahal,Roncesvalles Village,9 Roncesvalles Ave,647.341.8553,4.00
Indian,Mr. John's Kerala Kitchen,Scarborough,1850 Ellesmere Rd.,416.439.8600,4.33
Indian,Mumbai Express,Scarborough,1878 Kennedy Road,647.344.7377,4.17
Indian,Ambiyan,Yonge & St. Clair,1560 Yonge St.,416.792.5656,4.00
Indian,Little India,Queen West,255 Queen Street West,416.205.9836,4.41
Indian,Good Karma,Riverside,689 Queen St. E.,416.551.6152,4.50
Indian,Mayabazar,Scarborough,Not Found,Not Found,5.00
Indian,Karahi Boys,Mississauga,5955 Latimer Dr. #5,905.826.2827,3.50
Indian,Banjara,Bloorcourt,796 Bloor Street West,416.963.9360,4.34
Indian,Chaska Express,Yonge & Dundas,595 Bay St,647.475.1278,5.00
Indian,Cumin Kitchen,Danforth East,1820 Danforth Avenue,647.748.5522,4.29
Indian,Chadani,King East,51 Colborne St,647.748.4090,4.67
Indian,Brar Sweets,Etobicoke,2646 Islington Avenue,416.745.4449,5.00
Indian,Karahi Point,North York,2201 Finch Ave W,416.749.2997,4.83
Indian,Mantra,Don Mills,2 O'Neill Rd.,647.748.4678,4.83
Indian,Indilicious,Junction,3358 Dundas St. West,416.769.4270,5.00
Indian,Babu,Scarborough,4800 Sheppard Ave East,416.298.2228,4.00
Indian,A-One Catering,Mississauga,7875 Tranmere Dr,905.677.9121,5.00
Indian,Khau Gully,Yonge & Eglinton,Not Found,Not Found,4.47
Indian,Canbe Foods,Scarborough,1760 Ellesmere Rd,416.298.2219,3.44
Indian,Zeerah,Mississauga,3050 Artesian Drive,905.569.7916,4.17
Indian,Aanch,Entertainment District,Not Found,Not Found,4.50
Indian,Gasa Restaurant,Markham,50 New Delhi Dr,905.471.6300,5.00
Indian,Udupi Palace,Little India,Not Found,Not Found,4.67
Indian,La Sani Grill,Scarborough,2058 Ellesmere Rd,416.481.7866,3.75
Indian,Kairali,Scarborough,1210 Kennedy Rd.,416.909.0994,4.33
Indian,Leela Indian Food Bar,Junction,3108 Dundas St W,Not Found,4.46
Indian,Lahore Tikka House,Little India,1365 Gerrard Street East,416.406.1668,3.32
Indian,Colaba Junction,Yonge & College,801 Bay St,416.646.8800,-
Indian,Lageez,Scarborough,641 Pharmacy Ave,416.285.7999,4.33
Indian,Everest Hakka House,Etobicoke,2356 Lake Shore Boulevard West,416.640.1015,4.67
Indian,Maurya East Indian Cuisine,Etobicoke,2481 Lake Shore Blvd W,647.748.6001,4.43
Indian,Tich Indian,Etobicoke,2314 Lake Shore Blvd W,647.349.8424,4.50
Japanese,Matsuda Japanese Grill House,Scarborough,4810 Sheppard Avenue East,647.929.9939,4.50
Japanese,Omusubi Bar Suzume,Dundas West,707 Dundas St W,Not Found,-
Japanese,Yuugi Izakaya,Baldwin Village,49 Baldwin Street,647.343.8282,5.00
Japanese,Naru Izakaya,Yonge & College,399 Church Street,647.748.8988,5.00
Japanese,Muni Robata,Queen West,30 St Patrick St,416.340.0472,4.50
Japanese,Ikkousha Ramen Chicken,Queen West,257 Queen St West,416.979.0257,4.69
Japanese,Ronin Izakaya,Baldwin Village,39 Baldwin St.,416.977.8808,4.75
Japanese,Sansotei Ramen,King East,30 Adelaide St. East,416.703.1980,2.86
Japanese,Yonge Bistro,North York,5533 Yonge St.,647.340.5533,4.80
Japanese,Kyoto Katsugyu,Yonge & Dundas,134 Dundas St E.,Not Found,4.50
Japanese,Kome Shokudo,Richmond Hill,Not Found,Not Found,5.00
Japanese,Zen Sanuki Udon,Scarborough,3720 Midland Avenue,416.881.8899,4.00
Japanese,Akimitsu,Yonge & Dundas,41 Elm St,Not Found,3.33
Japanese,Konjiki Ramen Downtown,Yonge & Dundas,41 Elm St.,416.519.6794,4.14
Japanese,Raku Toronto,Queen West,456 Queen St W,416.546.9325,3.50
Japanese,Hakata Shoryuken Ramen on Queen,Queen West,225 Queen St. West,416.519.8940,4.14
Japanese,Hakata Ikkousha Ramen,Queen West,247 Queen St. W.,416.892.0249,4.87
Japanese,You Don Ya,Little Tokyo,108 Dundas St. W.,647.748.9399,3.86
Japanese,The Shozan Room,Ossington,164 Ossington Avenue,647.478.6164,5.00
Japanese,Kobe Teppanyaki & BBQ,Markham,8241 Woodbine Ave Unit 1,905.940.5111,4.67
Japanese,Zakkushi,Queen West,620 Queen St West,416.364.5252,4.75
Japanese,Goen Yakiniku,Richmond Hill,328 Hwy 7,905.597.0819,3.40
Japanese,Tokyo Grill at North York,North York,5175 Yonge St.,647.748.6700,3.33
Japanese,Sakai Bar,Brockton Village,1576 Dundas St W.,Not Found,4.89
Japanese,Nobuya Ramen,Etobicoke,285 Royal York Rd,416.201.9491,4.62
Japanese,Ryus Noodle Bar,Danforth,786 Broadview Avenue,647.344.9306,4.33
Japanese,Yukashi,Mount Pleasant,643a Mt Pleasant Rd.,416.489.6993,5.00
Japanese,Kingyo Izakaya,Cabbagetown,51B Winchester St.,647.748.2121,4.45
Japanese,Ramen Misoya,West Queen West,646 Queen St W.,416.594.6476,3.70
Japanese,Santouka Ramen on Bloor,Annex,515 Bloor St W.,647.346.6350,2.75
Japanese,Tondou Ramen,Little Italy,596 College St,416.588.8317,4.75
Japanese,Shinta Japanese BBQ,Richmond Hill,280 West Beaver Creek Rd,905.597.0305,4.00
Japanese,Ramen Isshin (Assembly Chef's Hall),Financial District,111 Richmond Street West,Not Found,3.56
Japanese,Akira Back,Entertainment District,80 Blue Jays Way,437.800.5967,4.29
Japanese,Konjiki Ramen,North York,5051 Yonge St,647.350.7766,3.82
Japanese,Gyubee (Bloor),Annex,335 Bloor St. W,416.551.9767,3.20
Japanese,Omai,Baldwin Village,3 Baldwin St,647.341.7766,4.10
Japanese,Onnki Donburi,Yonge & Bloor,40 Hayden Street,Not Found,4.88
Japanese,Nome Izakaya,North York,4848 Yonge Street,647.347.7937,3.33
Japanese,Ramen Raijin,Yonge & Wellesley,24 Wellesley Street,647.348.0667,3.75
Korean,Lims Chicken Toronto,Koreatown,623 Bloor St W,416.537.8288,4.00
Korean,Boonsik,Little Italy,50 Clinton St,416.551.1550,4.50
Korean,Don Chon Korean BBQ & Wings,Etobicoke,834 The Queensway,416.251.2227,4.50
Korean,Dasoni,St. Clair West,630 St Clair Ave. W,647.343.2878,4.50
Korean,Chung Chun Rice Dog,North York,11 Byng Ave.,Not Found,4.50
Korean,Danmuji,Thornhill,"5 Glen Cameron Rd., Unit #7",905.709.9902,4.00
Korean,Myeongdong Gyoza Kalguksu,Thornhill,"7117 Bathurst St., Unit #106",905.597.3911,3.00
Korean,Dakgogi on Wellesley,Yonge & Wellesley,25 Wellesley St. E.,647.350.1999,5.00
Korean,Busan Galmaegi,North York,5935 Yonge St,416.901.3231,5.00
Korean,Lee Nam Jang,North York,4846 Yonge Street,416.512.1345,4.00
Korean,Chicken in the Kitchen,North York,5600 Yonge St,416.224.5509,3.67
Korean,Hawk & Chick,Dundas West,1426 Dundas St. W.,Not Found,4.33
Korean,Mezu,Dundas West,Not Found,Not Found,4.91
Korean,Daldongnae,North York,6034 Yonge St.,416.226.6034,3.36
Korean,Piggy's Restaurant,Thornhill,5 Glen Cameron Road,905.597.1522,4.25
Korean,Ssangkye Braised Chicken House,Thornhill,100 Steeles Ave West,905.597.7288,4.33
Korean,MyMy Chicken,Annex,394 Bloor St. West,647.748.8868,3.75
Korean,Bi Bim Bap (College),Little Italy,598 College St,416.616.2028,4.50
Korean,Buk Chang Dong Soon Tofu,Koreatown,691 Bloor St. West,416.537.0972,4.14
Korean,Uncle Mikey's,Brockton Village,1597 Dundas St. W.,416.537.8973,4.67
Korean,Chaban,Etobicoke,872 The Queensway,416.255.8222,5.00
Korean,The Guksu and Noodle,Thornhill,"7771 Yonge St, Thornhill, ON L3T 2C4",905.771.7777,4.67
Korean,The Fry,Annex,524 Bloor St West,647.352.0999,4.40
Korean,Korean Village Restaurant,Koreatown,628 Bloor Street West,416.536.0290,4.20
Korean,Cho Sun Ok,Thornhill,7353 Yonge St.,905.707.8426,3.60
Korean,Cook's Fine Food Mart,North York,"15 Finch Ave. West, Unit B",416.226.2324,5.00
Korean,Han Ba Tang,North York,Not Found,Not Found,4.33
Korean,Barrio Coreano,Koreatown,642 Bloor St. W,416.901.5188,4.13
Korean,Tofu Village,Koreatown,681 Bloor St. West,647.345.3836,3.25
Korean,Oddseoul,Ossington,90 Ossington Avenue,Not Found,4.19
Korean,Song Cook's,North York,72 Steeles Avenue West,647.678.8000,3.77
Korean,Kimchi Korea House,Little Tokyo,149 Dundas Street W,416.599.1989,3.50
Korean,Bryan's BBQ,Koreatown,606 Bloor Street W,416.531.3544,4.50
Korean,Charcoal and Salt,North York,5523 Yonge Street,416.551.1668,-
Korean,The Owl,Koreatown,700 Bloor Street West,416.538.3030,3.88
Korean,Korea House,Koreatown,666 Bloor St. West,416.536.8666,3.60
Korean,Buk Chang Dong Soon ToFu (Yonge & Finch),North York,5445 Yonge Street,647.430.7458,4.00
Korean,Home of Hot Taste,Thornhill,5 Glen Cameron Road,905.881.0230,4.00
Korean,Bi Bim Bap,Eglinton West,950 Eglinton Ave West,416.787.7423,4.50
Korean,Sunrise House,Koreatown,661 Bloor Street West,416.535.1019,-
Mediterranean,Reyna on King,Corktown,354 King Street East,416.546.3155,4.17
Mediterranean,Madame Levant,Leslieville,821 Gerrard St. E.,416.729.0503,4.29
Mediterranean,Babel,Don Mills,305 York Mills Rd,647.475.6240,3.67
Mediterranean,Aviv Immigrant Kitchen,St. Clair West,779 St Clair Ave W,416.922.2433,4.50
Mediterranean,Petros82,Harbourfront,111 Princes' Boulevard,647.475.9279,3.78
Mediterranean,Byblos Uptown,Yonge & Eglinton,2537 Yonge St.,416.487.4897,3.70
Mediterranean,Luna Junction,Junction,2800 Dundas St W,416.762.4116,4.83
Mediterranean,Bonafide,Kensington Market,209 Augusta Ave,647.352.1899,5.00
Mediterranean,Constantine,Yonge & Bloor,15 Charles St. East,647.475.4436,3.62
Mediterranean,Plancha,King East,Not Found,Not Found,3.17
Mediterranean,Ricarda's,Entertainment District,134 Peter St.,416.304.9134,3.77
Mediterranean,Bar Reyna,Yorkville,158 Cumberland St. ,647.748.4464,4.00
Mediterranean,Folia Grill,Pape Village,1031 Pape Ave.,416.424.2800,4.75
Mediterranean,Mashu Mashu,Forest Hill Village,387 Spadina Rd.,416.840.0848,4.75
Mediterranean,Reyna,Financial District,111 Richmond Street West,647.557.5993,4.67
Mediterranean,Rikkochez,Danforth,341 Danforth Ave,416.463.9000,4.60
Mediterranean,Mykonos Mediterranean Grill,Rosedale,881 Yonge Street,416.963.8444,3.00
Mediterranean,Crowded House Restaurant,Leslieville,1161 Queen St. East,416.406.0400,5.00
Mediterranean,Suq Mediterranean Kitchen,North York,2 Champagne Dr.,416.661.8998,5.00
Mediterranean,Positano,Mount Pleasant,633 Mount Pleasant Road,416.932.3982,5.00
Mediterranean,Me Va Me (Mt. Sinai),Yonge & College,600 University Ave,Not Found,4.00
Mediterranean,Seraphia,Scarborough,2979 Kingston Rd.,416.264.8951,3.00
Mediterranean,Pita House,North York,40 Carl Hall Rd.,Not Found,-
Mediterranean,The Pomanar,Yonge & Dundas,65 Dundas St. East,416.362.9200,2.67
Mediterranean,Nil's Turkish Kitchen,Dundas West,707 Dundas Street West,647.717.9610,-
Mediterranean,Palmyra Mediterranean House,Mississauga,"5555 Eglinton Avenue W., Unit #110",416.626.2345,-
Mediterranean,Wild Fire Grill (Harbord),Harbord Village,81 Harbord St,Not Found,-
Moroccan,Sultan's Tent,King East,49 Front Street East,416.961.0601,4.00
Moroccan,Morocco House,Etobicoke,876 Brown's Line,416.519.2777,4.17
Oysters,Oyster Boy,West Queen West,872 Queen Street West,416.534.3432,3.93
Oysters,Rodney's Oyster House,King West,469 King Street West,416.363.8105,4.06
Oysters,Pure Spirits Oyster House,Distillery District,55 Mill Street,416.361.5859,4.11
Oysters,John and Sons Oyster House (Bay St.),Financial District,56 Temperance St,416.703.1111,3.00
Oysters,Zee Grill,Mount Pleasant,641 Mt Pleasant Rd,416.484.6428,-
Persian,Herby Restaurant,Danforth,397 Danforth Avenue,416.466.9933,4.00
Persian,Tabriz Persian Cookhouse,Yonge & Wellesley,995 Bay Street,416.922.2017,4.80
Persian,Takht-e Tavoos,Brockton Village,1120 College St.,647.352.7322,4.33
Persian,North Restaurant (Shomal),North York,100 Steeles Ave. West,905.881.7704,2.63
Persian,Sheherzade,Little Italy,422 College St.,416.929.9222,5.00
Persian,Darband Restaurant,North York,879 York Mills Road,416.445.1777,4.33
Persian,Queen of Persia,St. Clair West,672 St Clair Avenue West,416.651.5500,3.80
Persian,Darbar,Yonge & Eglinton,288 Eglinton Avenue West,416.519.4545,4.50
Persian,Shatter Abbas,Thornhill,8141 Yonge St,905.731.5299,4.00
Persian,Darvish Restaurant,Yonge & Wellesley,508 Yonge Street,416.929.8893,5.00
Persian,Gol Inc.,North York,5 Spring Garden Avenue,416.223.3465,3.60
Persian,Cottage Pizza and Sandwich,North York,"15 Northtown Way, Unit #24",647.700.5430,5.00
Persian,Persian Palace,Richmond Hill,10711 Yonge St.,905.737.4900,4.50
Persian,Toranj Fine Foods,North York,4750 Yonge St .,416.225.3222,5.00
Persian,Altona Kabob,North York,6099 Yonge Street,647.348.1067,4.00
Persian,Darbar (Avenue),Avenue and Lawrence,2015 Avenue Rd,647.351.4242,3.67
Persian,Shabestan Cafe & Restaurant,North York,6123 Yonge St.,416.222.3335,3.00
Pizza,Juniors,Roncesvalles Village,Not Found,Not Found,5.00
Pizza,Mark's Pizzas,Scarborough,371 Old Kingston Road,416.990.8034,5.00
Pizza,Gianna's,Parkdale,1554 Queen St W,416.535.7777,4.00
Pizza,Revolver Pizza Co.,Etobicoke,388 Royal York Rd.,416.252.2323,4.92
